_id,tracking_number,carrier,scans[0].timestamp,scans[0].scan,scans[1].timestamp,scans[1].scan,scans[2].timestamp,scans[2].scan,scans[3].timestamp,scans[3].scan,scans[4].timestamp,scans[4].scan,scans[5].timestamp,scans[5].scan,scans[6].timestamp,scans[6].scan,scans[7].timestamp,scans[7].scan,scans[8].timestamp,scans[8].scan,scans[9].timestamp,scans[9].scan,scans[10].timestamp,scans[10].scan,scans[11].timestamp,scans[11].scan,scans[12].timestamp,scans[12].scan,scans[13].timestamp,scans[13].scan,scans[14].timestamp,scans[14].scan,scans[15].timestamp,scans[15].scan,scans[16].timestamp,scans[16].scan,scans[17].timestamp,scans[17].scan,scans[18].timestamp,scans[18].scan,scans[19].timestamp,scans[19].scan,scans[20].timestamp,scans[20].scan,scans[21].timestamp,scans[21].scan
67d7c10b380fe7c6439e4860,H00FFA0003208802,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-22T16:37:14,warehouse scan,2025-01-22T16:37:14,warehouse scan,2025-01-22T16:38:14,warehouse scan,2025-01-22T16:38:14,warehouse scan,2025-01-22T23:22:40,warehouse scan,2025-01-22T23:22:40,warehouse scan,2025-01-23T06:43:00,collection scheduled,2025-01-23T06:43:00,collection scheduled,2025-01-23T08:59:13,out for delivery,2025-01-23T08:59:13,out for delivery,2025-01-23T09:15:24,scheduled for delivery,2025-01-23T09:15:24,scheduled for delivery,2025-01-23T10:42:16,delivered,2025-01-23T10:42:16,delivered,2025-01-23T12:24:50,collection failed or cancelled. rebooking required,,,,,,,,,,,,,,
67d7c10b380fe7c6439e59cb,1Z7E524X0498202109,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-02T11:53:46,shipment manifested,2025-01-02T15:11:58,shipment collected,2025-01-02T18:19:31,in transit,2025-01-02T19:09:00,in transit,2025-01-02T21:16:00,in transit,2025-01-03T16:21:00,in transit,2025-01-04T10:35:00,in transit,2025-01-06T10:20:18,in transit,2025-01-06T14:16:13,out for delivery,2025-01-07T02:26:56,delivery to pick-up point pending,2025-01-07T09:20:21,in transit,2025-01-07T09:50:17,in transit,2025-01-07T18:48:14,shipment ready for collection from pick-up point,2025-01-07T18:51:09,in transit,2025-01-07T18:51:09,in transit,2025-01-10T00:07:47,collection failed or cancelled. rebooking required,,,,,,,,,,,,
67d7c10b380fe7c6439e66e3,H00FFA0003208802,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-22T16:37:14,warehouse scan,2025-01-22T16:37:14,warehouse scan,2025-01-22T16:38:14,warehouse scan,2025-01-22T16:38:14,warehouse scan,2025-01-22T23:22:40,warehouse scan,2025-01-22T23:22:40,warehouse scan,2025-01-23T06:43:00,collection scheduled,2025-01-23T06:43:00,collection scheduled,2025-01-23T08:59:13,out for delivery,2025-01-23T08:59:13,out for delivery,2025-01-23T09:15:24,scheduled for delivery,2025-01-23T09:15:24,scheduled for delivery,2025-01-23T10:42:16,delivered,2025-01-23T10:42:16,delivered,2025-01-23T12:24:50,collection failed or cancelled. rebooking required,2025-01-23T12:24:50,collection failed or cancelled. rebooking required,,,,,,,,,,,,
67d7c10b380fe7c6439e6a26,H00FRA0002201104,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-21T11:05:36,warehouse scan,2025-01-21T11:06:36,warehouse scan,2025-01-21T16:21:52,warehouse scan,2025-01-21T18:18:17,collection failed. to be rescheduled.,2025-01-21T18:18:17,collection failed. to be rescheduled.,2025-01-21T19:44:36,in transit,2025-01-21T19:44:36,in transit,2025-01-22T08:21:00,collection scheduled,2025-01-22T08:21:00,collection scheduled,2025-01-22T10:32:55,out for delivery,2025-01-22T10:32:55,out for delivery,2025-01-22T10:54:03,scheduled for delivery,2025-01-22T10:54:03,scheduled for delivery,2025-01-22T14:37:24,delivered,2025-01-22T14:37:24,delivered,2025-01-22T18:51:36,collection failed or cancelled. rebooking required,,,,,,,,,,,,
67d7c10b380fe7c6439e7623,1Z7E524X0498202109,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-02T11:53:46,shipment manifested,2025-01-02T15:11:58,shipment collected,2025-01-02T18:19:31,in transit,2025-01-02T19:09:00,in transit,2025-01-02T21:16:00,in transit,2025-01-03T16:21:00,in transit,2025-01-04T10:35:00,in transit,2025-01-06T10:20:18,in transit,2025-01-06T14:16:13,out for delivery,2025-01-07T02:26:56,delivery to pick-up point pending,2025-01-07T09:20:21,in transit,2025-01-07T09:50:17,in transit,2025-01-07T18:48:14,shipment ready for collection from pick-up point,2025-01-07T18:51:09,in transit,2025-01-07T18:51:09,in transit,2025-01-10T00:07:47,collection failed or cancelled. rebooking required,2025-01-10T00:07:47,collection failed or cancelled. rebooking required,,,,,,,,,,
67d7c10b380fe7c6439e80a3,H00FFA0003195346,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-06T14:37:14,shipment manifested,2025-01-07T07:26:00,collection scheduled,2025-01-08T15:35:14,shipment dropped off awaiting carrier collection,2025-01-09T14:59:24,shipment collected,2025-01-09T18:25:41,warehouse scan,2025-01-09T18:26:23,warehouse scan,2025-01-09T19:25:10,collection failed. to be rescheduled.,2025-01-10T07:24:00,collection scheduled,2025-01-10T13:05:13,warehouse scan,2025-01-10T20:26:55,collection failed. to be rescheduled.,2025-01-11T00:05:57,warehouse scan,2025-01-11T03:09:20,in transit,2025-01-11T07:27:00,collection scheduled,2025-01-11T09:17:41,out for delivery,2025-01-11T09:57:47,scheduled for delivery,2025-01-11T10:56:04,delivered,2025-01-12T14:05:45,collection failed. to be rescheduled.,,,,,,,,,,
67d7c10b380fe7c6439e80a5,H00FFA0003195360,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-06T14:47:16,shipment manifested,2025-01-07T07:26:00,collection scheduled,2025-01-08T15:34:12,shipment dropped off awaiting carrier collection,2025-01-09T15:00:32,shipment collected,2025-01-09T18:19:49,warehouse scan,2025-01-09T18:20:33,warehouse scan,2025-01-09T19:25:10,collection failed. to be rescheduled.,2025-01-10T07:21:10,warehouse scan,2025-01-10T07:22:10,warehouse scan,2025-01-10T07:24:00,collection scheduled,2025-01-10T15:53:23,warehouse scan,2025-01-10T20:26:58,collection failed. to be rescheduled.,2025-01-11T07:27:00,collection scheduled,2025-01-11T09:32:06,out for delivery,2025-01-11T10:24:44,scheduled for delivery,2025-01-11T11:27:42,delivery attempted. unable to access the premises for delivery.,2025-01-12T14:05:50,collection failed. to be rescheduled.,,,,,,,,,,
67d7c10b380fe7c6439e8481,H00FRA0002201104,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-21T11:05:36,warehouse scan,2025-01-21T11:06:36,warehouse scan,2025-01-21T16:21:52,warehouse scan,2025-01-21T18:18:17,collection failed. to be rescheduled.,2025-01-21T18:18:17,collection failed. to be rescheduled.,2025-01-21T19:44:36,in transit,2025-01-21T19:44:36,in transit,2025-01-22T08:21:00,collection scheduled,2025-01-22T08:21:00,collection scheduled,2025-01-22T10:32:55,out for delivery,2025-01-22T10:32:55,out for delivery,2025-01-22T10:54:03,scheduled for delivery,2025-01-22T10:54:03,scheduled for delivery,2025-01-22T14:37:24,delivered,2025-01-22T14:37:24,delivered,2025-01-22T18:51:36,collection failed or cancelled. rebooking required,2025-01-22T18:51:36,collection failed or cancelled. rebooking required,,,,,,,,,,
67d7c10b380fe7c6439e8eb3,1Z7E524X0498202109,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-02T11:53:46,shipment manifested,2025-01-02T15:11:58,shipment collected,2025-01-02T18:19:31,in transit,2025-01-02T19:09:00,in transit,2025-01-02T21:16:00,in transit,2025-01-03T16:21:00,in transit,2025-01-04T10:35:00,in transit,2025-01-06T10:20:18,in transit,2025-01-06T14:16:13,out for delivery,2025-01-07T02:26:56,delivery to pick-up point pending,2025-01-07T09:20:21,in transit,2025-01-07T09:50:17,in transit,2025-01-07T18:48:14,shipment ready for collection from pick-up point,2025-01-07T18:51:09,in transit,2025-01-07T18:51:09,in transit,2025-01-10T00:07:47,collection failed or cancelled. rebooking required,2025-01-10T00:07:47,collection failed or cancelled. rebooking required,2025-01-10T00:11:56,collection failed or cancelled. rebooking required,,,,,,,,
67d7c10b380fe7c6439ea3aa,1Z7E524X0498202109,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-02T11:53:46,shipment manifested,2025-01-02T15:11:58,shipment collected,2025-01-02T18:19:31,in transit,2025-01-02T19:09:00,in transit,2025-01-02T21:16:00,in transit,2025-01-03T16:21:00,in transit,2025-01-04T10:35:00,in transit,2025-01-06T10:20:18,in transit,2025-01-06T14:16:13,out for delivery,2025-01-07T02:26:56,delivery to pick-up point pending,2025-01-07T09:20:21,in transit,2025-01-07T09:50:17,in transit,2025-01-07T18:48:14,shipment ready for collection from pick-up point,2025-01-07T18:51:09,in transit,2025-01-07T18:51:09,in transit,2025-01-10T00:07:47,collection failed or cancelled. rebooking required,2025-01-10T00:07:47,collection failed or cancelled. rebooking required,2025-01-10T00:11:56,collection failed or cancelled. rebooking required,2025-01-10T00:11:56,collection failed or cancelled. rebooking required,,,,,,
67d7c107380fe7c6439a236f,TF2763045,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2024-10-31T11:59:37,shipment manifested,2024-10-31T12:25:00,collection failed - parcel not ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a24fc,b899b3c9-274c-4105-b67d-0a8db0009972-99065,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-10-17T10:13:40,shipment manifested,2024-10-17T11:14:22,collection failed or cancelled. rebooking required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a24fe,31eef020-5c6b-46ce-b511-4cf284a782ca-45999,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-10-28T00:03:55,shipment manifested,2024-10-28T00:13:56,collection failed or cancelled. rebooking required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a26fc,baae89d6-f212-4940-81da-d55a08afcbf6-34537,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-10-21T07:49:18,shipment manifested,2024-10-21T10:31:06,collection failed or cancelled. rebooking required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a27db,917db26c-134f-46f1-a1f0-155d2a6f9643-41304,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-10-20T13:12:21,shipment manifested,2024-10-20T13:56:20,collection failed or cancelled. rebooking required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a280e,CK309873635GB,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2024-10-18T09:54:17,in transit,2024-10-21T14:35:00,collection failed - parcel not ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a28e9,TF0518824,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2024-10-28T11:30:54,shipment manifested,2024-10-28T13:52:00,collection failed - parcel not ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a2b78,TI7483682,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-07T10:07:44,shipment manifested,2025-01-07T16:23:00,collection failed - shipper not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a2ceb,TF3246135,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2024-11-01T09:45:10,shipment manifested,2024-11-01T15:56:00,collection failed - parcel not ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a2d29,df8d6a61-bcb5-4398-9755-845e12d5aa92-74179,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-10-28T10:01:30,shipment manifested,2024-10-28T11:37:57,collection failed or cancelled. rebooking required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10b380fe7c6439ed699,H00FFA0003195360,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-06T14:47:16,shipment manifested,2025-01-07T07:26:00,collection scheduled,2025-01-08T15:34:12,shipment dropped off awaiting carrier collection,2025-01-09T15:00:32,shipment collected,2025-01-09T18:19:49,warehouse scan,2025-01-09T18:20:33,warehouse scan,2025-01-09T19:25:10,collection failed. to be rescheduled.,2025-01-10T07:21:10,warehouse scan,2025-01-10T07:22:10,warehouse scan,2025-01-10T07:24:00,collection scheduled,2025-01-10T15:53:23,warehouse scan,2025-01-10T20:26:58,collection failed. to be rescheduled.,2025-01-11T07:27:00,collection scheduled,2025-01-11T09:32:06,out for delivery,2025-01-11T10:24:44,scheduled for delivery,2025-01-11T11:27:42,delivery attempted. unable to access the premises for delivery.,2025-01-12T14:05:50,collection failed. to be rescheduled.,2025-01-13T07:02:00,collection scheduled,2025-01-13T08:08:42,out for delivery,2025-01-13T10:12:00,scheduled for delivery,2025-01-13T10:39:49,driver release - delivered to a safe place,2025-01-13T15:57:11,collection failed
67d7c107380fe7c6439a90b4,H00FRA0002175929,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-26T12:21:34,shipment manifested,2024-12-27T08:04:00,collection scheduled,2024-12-27T16:50:30,collection failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a90dd,H00FRA0002187936,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-06T16:04:29,shipment manifested,2025-01-07T08:36:00,collection scheduled,2025-01-07T18:06:35,collection failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a917a,H00FRA0002176503,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-27T11:07:33,shipment manifested,2024-12-30T07:11:00,collection scheduled,2024-12-30T13:09:48,collection failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a9222,H00FRA0002189827,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-07T16:20:32,shipment manifested,2025-01-08T08:36:00,collection scheduled,2025-01-08T11:29:45,collection failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a936c,H00FFA0003197186,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-07T17:08:11,shipment manifested,2025-01-08T08:01:00,collection scheduled,2025-01-08T11:34:06,collection failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a93af,H00FRA0002097315,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-10-26T10:00:16,shipment manifested,2024-10-29T07:06:00,collection scheduled,2024-10-29T11:30:09,collection failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a93de,H00FFA0003183252,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-20T17:49:51,shipment manifested,2024-12-23T07:21:00,collection scheduled,2024-12-23T16:18:45,collection failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a97ac,H00FFA0003096574,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-10-23T07:34:11,shipment manifested,2024-10-24T08:17:00,collection scheduled,2024-10-24T13:40:32,collection failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a988d,H00FFA0003198241,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-08T16:08:26,shipment manifested,2025-01-09T06:08:00,collection scheduled,2025-01-09T11:23:51,collection failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a98b9,H00FRA0002191252,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-08T16:24:43,shipment manifested,2025-01-09T07:19:00,collection scheduled,2025-01-09T12:49:03,collection failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439aff51,H00FRA0002182087,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-02T08:41:05,shipment manifested,2025-01-02T16:44:58,shipment dropped off awaiting carrier collection,2025-01-03T07:49:00,collection scheduled,2025-01-03T09:12:13,collection failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439b165e,CB3450499,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-20T00:00:00,shipment manifested,2025-01-20T15:33:26,in transit,2025-01-20T15:33:26,shipment collected,2025-01-20T15:34:00,collection failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439b182e,CB3814358,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-20T09:24:00,in transit,2025-01-20T09:24:00,shipment collected,2025-01-20T12:07:04,shipment manifested,2025-01-20T15:23:00,collection failed - parcel not ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439b35f8,H00FRA0002195539,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-13T10:06:55,shipment manifested,2025-01-14T06:04:00,collection scheduled,2025-01-14T18:00:00,shipment dropped off awaiting carrier collection,2025-01-14T18:57:53,collection failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439b3919,H00FRA0002188560,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-07T10:47:55,shipment manifested,2025-01-08T07:33:00,collection scheduled,2025-01-08T16:41:40,shipment collected,2025-01-08T16:44:35,collection failed. to be rescheduled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439b3d98,H00FRA0002197329,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-16T13:00:49,collection failed,2025-01-16T15:56:13,warehouse scan,2025-01-17T08:05:00,collection scheduled,2025-01-17T11:35:00,collection failed or cancelled. rebooking required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
